model,checkpoint,compositional_plural_reverse
EleutherAI/pythia-6.9b,step0,11.591098484848485
EleutherAI/pythia-6.9b,step11000,9.031581439393939
EleutherAI/pythia-6.9b,step110000,7.908641098484848
EleutherAI/pythia-6.9b,step121000,8.03544034090909
EleutherAI/pythia-6.9b,step132000,7.894673295454545
EleutherAI/pythia-6.9b,step143000,7.754427083333334
EleutherAI/pythia-6.9b,step22000,8.703480113636363
EleutherAI/pythia-6.9b,step33000,8.19469696969697
EleutherAI/pythia-6.9b,step44000,8.183262310606061
EleutherAI/pythia-6.9b,step55000,7.904095643939394
EleutherAI/pythia-6.9b,step66000,7.798177083333333
EleutherAI/pythia-6.9b,step77000,8.015506628787879
EleutherAI/pythia-6.9b,step88000,7.720667613636364
EleutherAI/pythia-6.9b,step99000,7.898508522727273
