model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_gerund_last,correct_gerund_last,total_gerund_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_gerund_last,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_compositional_gerund_last_gerund_last_detailed.jsonl,178.0,0.0,0,178,,,,,,,
EleutherAI/pythia-6.9b,step11000,compositional_gerund_last,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_compositional_gerund_last_gerund_last_detailed.jsonl,178.0,1.0,178,178,,,,,,,
EleutherAI/pythia-6.9b,step22000,compositional_gerund_last,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_compositional_gerund_last_gerund_last_detailed.jsonl,178.0,1.0,178,178,,,,,,,
EleutherAI/pythia-6.9b,step33000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,7.001536165730337,1254.492285556828,0.0010369917294818988,0.0010369917294818988
EleutherAI/pythia-6.9b,step44000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,8.248924683988765,4345.081115491959,0.0002982951508150991,0.0002982951508150991
EleutherAI/pythia-6.9b,step55000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,8.163974719101123,3962.2212261553414,0.0003205988407353345,0.0003205988407353345
EleutherAI/pythia-6.9b,step66000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.235472261235955,12159.30695079018,0.0001151292044860614,0.0001151292044860614
EleutherAI/pythia-6.9b,step77000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.749385533707866,20649.818878891278,7.064914535037623e-05,7.064914535037623e-05
EleutherAI/pythia-6.9b,step88000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.830100070224718,21887.443268592568,6.438061294476038e-05,6.438061294476038e-05
EleutherAI/pythia-6.9b,step99000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.466950491573034,16858.212279877498,9.91632720507745e-05,9.91632720507745e-05
EleutherAI/pythia-6.9b,step110000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,10.467213834269662,43720.566670168286,3.585228884003105e-05,3.585228884003105e-05
EleutherAI/pythia-6.9b,step121000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.983804424157304,26603.325718731074,5.692858468505185e-05,5.692858468505185e-05
EleutherAI/pythia-6.9b,step132000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.885884831460674,24803.841248790468,6.292500156677514e-05,6.292500156677514e-05
EleutherAI/pythia-6.9b,step143000,compositional_gerund_last,True,,False,,,1.0,178,178,1.0,178.0,178.0,9.735516151685394,19804.30526468458,7.004582238872107e-05,7.004582238872107e-05
