model,checkpoint,simple_icl_country_to_capital
EleutherAI/pythia-6.9b,step11000,4.145008916440218
EleutherAI/pythia-6.9b,step110000,3.1871125594429346
EleutherAI/pythia-6.9b,step121000,3.094190514605978
EleutherAI/pythia-6.9b,step132000,3.113167140794837
EleutherAI/pythia-6.9b,step143000,2.989061438519022
EleutherAI/pythia-6.9b,step22000,3.543993079144022
EleutherAI/pythia-6.9b,step33000,3.1957715905230977
EleutherAI/pythia-6.9b,step44000,2.9781228770380435
EleutherAI/pythia-6.9b,step55000,3.2854508109714673
EleutherAI/pythia-6.9b,step66000,3.2615462593410327
EleutherAI/pythia-6.9b,step77000,3.2640009341032608
EleutherAI/pythia-6.9b,step88000,3.193173615828804
EleutherAI/pythia-6.9b,step99000,3.0275693147078804
