model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_V5,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_V5_Advanced_Vocabulary_Test_II_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,6.726236979166667,961.6220714943706,0.0014191668682420333,0.0014191668682420333
EleutherAI/pythia-6.9b,step22000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.303168402777778,217.71115545864362,0.005405766385064459,0.005405766385064459
EleutherAI/pythia-6.9b,step33000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,6.219509548611111,582.6798010709015,0.0022784690877808446,0.0022784690877808446
EleutherAI/pythia-6.9b,step44000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,6.005750868055555,449.14014500925236,0.002718777329191446,0.002718777329191446
EleutherAI/pythia-6.9b,step55000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.040256076388889,165.62433169064832,0.006979872008455572,0.006979872008455572
EleutherAI/pythia-6.9b,step66000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.333658854166667,224.53323582494397,0.0052439041618105,0.0052439041618105
EleutherAI/pythia-6.9b,step77000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.541341145833333,284.06278088657893,0.00445862554345328,0.00445862554345328
EleutherAI/pythia-6.9b,step88000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,4.905164930555555,144.16242013298046,0.00786257500062808,0.00786257500062808
EleutherAI/pythia-6.9b,step99000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,4.912977430555555,145.85444927874562,0.007897021384626009,0.007897021384626009
EleutherAI/pythia-6.9b,step110000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.086805555555555,172.17829111664213,0.006600126971818173,0.006600126971818173
EleutherAI/pythia-6.9b,step121000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,4.793294270833333,128.45982504882107,0.008885073372455065,0.008885073372455065
EleutherAI/pythia-6.9b,step132000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,4.938802083333333,147.26828075498332,0.007574644591691037,0.007574644591691037
EleutherAI/pythia-6.9b,step143000,textfrct_V5,True,,False,,,0.0,0,36,0.0,0.0,36.0,4.648274739583333,111.08173727669424,0.010158835207041576,0.010158835207041576
