model,checkpoint,compositional_translate_eng_fr_lower
EleutherAI/pythia-6.9b,step0,11.699573863636363
EleutherAI/pythia-6.9b,step11000,6.866287878787879
EleutherAI/pythia-6.9b,step110000,4.781244081439394
EleutherAI/pythia-6.9b,step121000,4.7913884943181815
EleutherAI/pythia-6.9b,step132000,4.658226799242424
EleutherAI/pythia-6.9b,step143000,4.576029829545455
EleutherAI/pythia-6.9b,step22000,5.5405243844696965
EleutherAI/pythia-6.9b,step33000,5.2232421875
EleutherAI/pythia-6.9b,step44000,4.816187263257576
EleutherAI/pythia-6.9b,step55000,4.762292850378788
EleutherAI/pythia-6.9b,step66000,4.8032137784090905
EleutherAI/pythia-6.9b,step77000,4.8836292613636365
EleutherAI/pythia-6.9b,step88000,4.729137073863637
EleutherAI/pythia-6.9b,step99000,4.628545217803031
