model,checkpoint,compositional_translate_eng_fr_upper_reverse
EleutherAI/pythia-6.9b,step0,11.660519622093023
EleutherAI/pythia-6.9b,step11000,8.721361736918604
EleutherAI/pythia-6.9b,step110000,8.337390988372093
EleutherAI/pythia-6.9b,step121000,8.269349563953488
EleutherAI/pythia-6.9b,step132000,8.232035792151162
EleutherAI/pythia-6.9b,step143000,8.117914244186046
EleutherAI/pythia-6.9b,step22000,8.627793422965116
EleutherAI/pythia-6.9b,step33000,8.41158702761628
EleutherAI/pythia-6.9b,step44000,8.328102289244185
EleutherAI/pythia-6.9b,step55000,8.404342296511627
EleutherAI/pythia-6.9b,step66000,8.07557003997093
EleutherAI/pythia-6.9b,step77000,8.375022710755815
EleutherAI/pythia-6.9b,step88000,8.179062954215116
EleutherAI/pythia-6.9b,step99000,8.328329396802326
