model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_last,correct_translate_fr_eng_last,total_translate_fr_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_fr_eng_last,True,,False,0.0,0,171,0.0,0,171,11.702165570175438,315124.1286179426,2.2727000963366137e-05,2.2727000963366137e-05
EleutherAI/pythia-6.9b,step11000,compositional_translate_fr_eng_last,True,,False,0.08771929824561403,15,171,0.08771929824561403,15,171,10.773094846491228,122718.68619142323,5.3034765292639604e-05,5.3034765292639604e-05
EleutherAI/pythia-6.9b,step22000,compositional_translate_fr_eng_last,True,,False,0.08187134502923976,14,171,0.08187134502923976,14,171,10.234923245614034,78696.95327013115,8.452474279647429e-05,8.452474279647429e-05
EleutherAI/pythia-6.9b,step33000,compositional_translate_fr_eng_last,True,,False,0.07602339181286549,13,171,0.07602339181286549,13,171,9.355765716374268,40456.602176900116,0.00023310622734240455,0.00023310622734240455
EleutherAI/pythia-6.9b,step44000,compositional_translate_fr_eng_last,True,,False,0.08187134502923976,14,171,0.08187134502923976,14,171,10.033260233918128,48533.26755244158,8.475943506349367e-05,8.475943506349367e-05
EleutherAI/pythia-6.9b,step55000,compositional_translate_fr_eng_last,True,,False,0.1111111111111111,19,171,0.1111111111111111,19,171,10.995819627192983,159309.84775815802,3.125910638217582e-05,3.125910638217582e-05
EleutherAI/pythia-6.9b,step66000,compositional_translate_fr_eng_last,True,,False,0.05263157894736842,9,171,0.05263157894736842,9,171,11.06857638888889,179291.73587042835,4.004469063726666e-05,4.004469063726666e-05
EleutherAI/pythia-6.9b,step77000,compositional_translate_fr_eng_last,True,,False,0.04678362573099415,8,171,0.04678362573099415,8,171,11.664793494152047,305361.6110880707,1.858633456083396e-05,1.858633456083396e-05
EleutherAI/pythia-6.9b,step88000,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,10.75436312134503,100000.8892711291,4.440122627902761e-05,4.440122627902761e-05
EleutherAI/pythia-6.9b,step99000,compositional_translate_fr_eng_last,True,,False,0.10526315789473684,18,171,0.10526315789473684,18,171,11.192251461988304,194232.58663730006,3.30561480921683e-05,3.30561480921683e-05
EleutherAI/pythia-6.9b,step110000,compositional_translate_fr_eng_last,True,,False,0.07017543859649122,12,171,0.07017543859649122,12,171,12.182748538011696,617731.3713720845,1.254870058470516e-05,1.254870058470516e-05
EleutherAI/pythia-6.9b,step121000,compositional_translate_fr_eng_last,True,,False,0.04093567251461988,7,171,0.04093567251461988,7,171,12.105080409356725,545778.5273574828,1.477705238135807e-05,1.477705238135807e-05
EleutherAI/pythia-6.9b,step132000,compositional_translate_fr_eng_last,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,11.909265350877194,451547.9767129728,2.0324310283743086e-05,2.0324310283743086e-05
EleutherAI/pythia-6.9b,step143000,compositional_translate_fr_eng_last,True,,False,0.0935672514619883,16,171,0.0935672514619883,16,171,11.504934210526315,274502.45359919383,2.3086896890161293e-05,2.3086896890161293e-05
