model,checkpoint,compositional_gerund_upper_reverse
LLM360/Amber,ckpt_000,7.793802668539326
LLM360/Amber,ckpt_032,4.833117538623595
LLM360/Amber,ckpt_065,4.828267643960674
LLM360/Amber,ckpt_097,4.597305126404494
LLM360/Amber,ckpt_130,4.701468135533708
LLM360/Amber,ckpt_163,4.906853493679775
LLM360/Amber,ckpt_195,4.55051790730337
LLM360/Amber,ckpt_228,4.476760007022472
LLM360/Amber,ckpt_261,4.426340853230337
LLM360/Amber,ckpt_293,4.610165028089888
LLM360/Amber,ckpt_326,4.63452422752809
LLM360/Amber,ckpt_358,4.637607531601123
LLM360/Amber,main,4.527201106039326
