model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV2,correct_CV2,total_CV2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,8.8662109375,10642.416399101969,1.7254148070979764e-08,0.00037955036580474634
LLM360/Amber,ckpt_032,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.41455078125,217.28134585954746,1.4915683267235198e-06,0.024510504781396894
LLM360/Amber,ckpt_065,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,3.952978515625,105.43573301551312,2.922015589655251e-06,0.03516130440347598
LLM360/Amber,ckpt_097,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.445361328125,240.1963538588885,5.847592170108813e-07,0.025605954769132844
LLM360/Amber,ckpt_130,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.206005859375,172.0094972434842,7.7894063132596e-07,0.031233641888753782
LLM360/Amber,ckpt_163,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.58203125,474.8877181536771,2.146664722224442e-07,0.02515251420769743
LLM360/Amber,ckpt_195,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.506201171875,439.5372494485414,1.7842362588074451e-07,0.02606690605395266
LLM360/Amber,ckpt_228,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.357666015625,344.7214894642705,4.2023709887113576e-07,0.02922918122459268
LLM360/Amber,ckpt_261,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.494384765625,529.995371880541,2.5036473891360096e-07,0.028616804347943496
LLM360/Amber,ckpt_293,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.256787109375,225.84445493431804,4.5526335265551287e-07,0.02910812742849379
LLM360/Amber,ckpt_326,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.228271484375,210.56555938871998,2.734546547000433e-07,0.03045725816390519
LLM360/Amber,ckpt_358,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.130078125,196.78514783802922,3.709653412831677e-07,0.03308077469757898
LLM360/Amber,main,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,4.1064453125,177.8251954966605,4.2990577325551356e-07,0.031777183096375686
