model,checkpoint,compositional_translate_sp_eng_lower
LLM360/Amber,ckpt_000,11.56688904494382
LLM360/Amber,ckpt_032,6.485636850421348
LLM360/Amber,ckpt_065,5.79759919241573
LLM360/Amber,ckpt_097,5.671803678019663
LLM360/Amber,ckpt_130,5.595494645365169
LLM360/Amber,ckpt_163,4.976606390449438
LLM360/Amber,ckpt_195,5.084620786516854
LLM360/Amber,ckpt_228,4.68164611130618
LLM360/Amber,ckpt_261,4.921359287219101
LLM360/Amber,ckpt_293,5.077334971910112
LLM360/Amber,ckpt_326,5.119820926966292
LLM360/Amber,ckpt_358,5.246938641151686
LLM360/Amber,main,4.934734901685394
