model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lowercase,correct_lowercase,total_lowercase,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_lowercase,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,8.198016826923077,5220.366975400815,0.00041901858581183486,0.00041901858581183486
LLM360/Amber,ckpt_032,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.213641826923077,4696.901763158454,0.00033569105806090406,0.00033569105806090406
LLM360/Amber,ckpt_065,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.37109375,5469.337600366721,0.00028698669757389766,0.00028698669757389766
LLM360/Amber,ckpt_097,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.721454326923077,2556.884017182777,0.0005017825718414459,0.0005017825718414459
LLM360/Amber,ckpt_130,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.5262920673076925,2150.3684555008786,0.0006321439977922412,0.0006321439977922412
LLM360/Amber,ckpt_163,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.3623798076923075,1803.262882824798,0.0007454937242852863,0.0007454937242852863
LLM360/Amber,ckpt_195,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.2723858173076925,1652.012217644412,0.000812430236303258,0.000812430236303258
LLM360/Amber,ckpt_228,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.540414663461538,2103.29726510691,0.0005958029232301867,0.0005958029232301867
LLM360/Amber,ckpt_261,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.724759615384615,2457.3667812739513,0.00048289441710243233,0.00048289441710243233
LLM360/Amber,ckpt_293,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.338491586538462,1790.6247519134786,0.000774383561144778,0.000774383561144778
LLM360/Amber,ckpt_326,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.236177884615385,4327.632552438175,0.00030910015832236366,0.00030910015832236366
LLM360/Amber,ckpt_358,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.887319711538462,3216.490406905664,0.0004573908746031701,0.0004573908746031701
LLM360/Amber,main,simple_icl_lowercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.644981971153846,2663.5754498307683,0.0005864360588965971,0.0005864360588965971
