model,checkpoint,compositional_translate_eng_fr_first
LLM360/Amber,ckpt_000,8.583995664739884
LLM360/Amber,ckpt_032,10.556674494219653
LLM360/Amber,ckpt_065,10.47507225433526
LLM360/Amber,ckpt_097,10.19233200867052
LLM360/Amber,ckpt_130,10.793510657514451
LLM360/Amber,ckpt_163,10.690864342485549
LLM360/Amber,ckpt_195,10.244919617052023
LLM360/Amber,ckpt_228,10.185038836705202
LLM360/Amber,ckpt_261,10.40774024566474
LLM360/Amber,ckpt_293,10.646518244219653
LLM360/Amber,ckpt_326,10.601517341040463
LLM360/Amber,ckpt_358,10.469811235549132
LLM360/Amber,main,9.95998916184971
