model,checkpoint,ioi_task
LLM360/Amber,ckpt_065,3.286216796875
LLM360/Amber,ckpt_097,2.685369140625
LLM360/Amber,ckpt_130,2.72281640625
LLM360/Amber,ckpt_163,2.760689453125
LLM360/Amber,ckpt_195,2.72641015625
LLM360/Amber,ckpt_228,2.74458984375
LLM360/Amber,ckpt_261,2.797716796875
LLM360/Amber,ckpt_293,2.7525458984375
LLM360/Amber,ckpt_326,2.7181474609375
LLM360/Amber,ckpt_358,2.654322265625
LLM360/Amber,main,2.6829833984375
