model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_lower,correct_plural_lower,total_plural_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_plural_lower,True,,False,0.0,0,163,0.0,0,163,9.734279141104295,347471.8201434756,2.826424160180364e-07,0.0001976357294159698
LLM360/Amber,ckpt_032,compositional_plural_lower,True,,False,0.9263803680981595,151,163,0.9263803680981595,151,163,4.244374281058282,864.7014149000377,0.0005882400292054269,0.02743264155634414
LLM360/Amber,ckpt_065,compositional_plural_lower,True,,False,0.950920245398773,155,163,0.950920245398773,155,163,4.016236100460123,415.63484607363006,0.0010008510117231271,0.031625658351777206
LLM360/Amber,ckpt_097,compositional_plural_lower,True,,False,0.9631901840490797,157,163,0.9631901840490797,157,163,4.100148581288344,494.59997534596766,0.001575999170008623,0.030029113808965776
LLM360/Amber,ckpt_130,compositional_plural_lower,True,,False,0.9570552147239264,156,163,0.9570552147239264,156,163,4.115432083972393,329.77813461800156,0.0019795604334394297,0.029145368639018513
LLM360/Amber,ckpt_163,compositional_plural_lower,True,,False,0.950920245398773,155,163,0.950920245398773,155,163,3.986417992714724,267.10386766926393,0.001620399826214645,0.03175316345726734
LLM360/Amber,ckpt_195,compositional_plural_lower,True,,False,0.9631901840490797,157,163,0.9631901840490797,157,163,4.192574530291411,585.1509340667346,0.0009210065603916992,0.028614185290545758
LLM360/Amber,ckpt_228,compositional_plural_lower,True,,False,0.9754601226993865,159,163,0.9754601226993865,159,163,3.8263396280674846,210.4989519732848,0.0018370777078616772,0.03703559740357111
LLM360/Amber,ckpt_261,compositional_plural_lower,True,,False,0.9570552147239264,156,163,0.9570552147239264,156,163,3.8669119056748467,638.1082295922449,0.0016058282971644243,0.035149059444301876
LLM360/Amber,ckpt_293,compositional_plural_lower,True,,False,0.9570552147239264,156,163,0.9570552147239264,156,163,4.105924079754601,481.9280581760381,0.0005549166883154557,0.0304449180975177
LLM360/Amber,ckpt_326,compositional_plural_lower,True,,False,0.9754601226993865,159,163,0.9754601226993865,159,163,4.104138707822086,610.7677387265447,0.0009626356652198269,0.030530502014686826
LLM360/Amber,ckpt_358,compositional_plural_lower,True,,False,0.950920245398773,155,163,0.950920245398773,155,163,4.21747387845092,766.408591364272,0.0018264935509607742,0.029923066427898902
LLM360/Amber,main,compositional_plural_lower,True,,False,0.950920245398773,155,163,0.950920245398773,155,163,4.134747651457055,810.3006909188551,0.0018566991843001885,0.032252280870133286
