model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_reverse_first,correct_plural_reverse_first,total_plural_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_plural_reverse_first,True,,False,0.012121212121212121,2,165,0.012121212121212121,2,165,7.641903409090909,2757.8571358961726,0.0006248552553243354,0.0006248552553243354
LLM360/Amber,ckpt_032,compositional_plural_reverse_first,True,,False,0.8363636363636363,138,165,0.8363636363636363,138,165,8.782386363636364,91134.83722369756,0.0002780180004204531,0.0002780180004204531
LLM360/Amber,ckpt_065,compositional_plural_reverse_first,True,,False,0.8,132,165,0.8,132,165,8.876160037878789,70144.35872975223,0.00025820425773226456,0.00025820425773226456
LLM360/Amber,ckpt_097,compositional_plural_reverse_first,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,8.067258522727272,31317.493916689295,0.0005331862695799416,0.0005331862695799416
LLM360/Amber,ckpt_130,compositional_plural_reverse_first,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,8.07566287878788,29972.373247396787,0.0005412055436119802,0.0005412055436119802
LLM360/Amber,ckpt_163,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.608901515151516,33582.11811971364,0.0003073951988780561,0.0003073951988780561
LLM360/Amber,ckpt_195,compositional_plural_reverse_first,True,,False,0.793939393939394,131,165,0.793939393939394,131,165,8.284114583333333,37348.09564160585,0.0004690668164444883,0.0004690668164444883
LLM360/Amber,ckpt_228,compositional_plural_reverse_first,True,,False,0.7878787878787878,130,165,0.7878787878787878,130,165,8.343087121212122,23461.245798857108,0.0004177361249755132,0.0004177361249755132
LLM360/Amber,ckpt_261,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,7.80999053030303,16325.834568100392,0.000659548088926808,0.000659548088926808
LLM360/Amber,ckpt_293,compositional_plural_reverse_first,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,8.633617424242424,74123.92986307976,0.00033743170321932404,0.00033743170321932404
LLM360/Amber,ckpt_326,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.788139204545455,60721.096086175254,0.0002508973658959061,0.0002508973658959061
LLM360/Amber,ckpt_358,compositional_plural_reverse_first,True,,False,0.7696969696969697,127,165,0.7696969696969697,127,165,9.138967803030303,112475.64022888783,0.00021135251176026746,0.00021135251176026746
LLM360/Amber,main,compositional_plural_reverse_first,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,8.153125,49435.980909033366,0.0005448907011508667,0.0005448907011508667
