model,checkpoint,textfrct_CV3
LLM360/Amber,ckpt_000,10.444227430555555
LLM360/Amber,ckpt_032,9.545789930555555
LLM360/Amber,ckpt_065,9.652994791666666
LLM360/Amber,ckpt_097,9.180013020833334
LLM360/Amber,ckpt_130,8.827690972222221
LLM360/Amber,ckpt_163,9.278645833333334
LLM360/Amber,ckpt_195,9.03298611111111
LLM360/Amber,ckpt_228,8.66482204861111
LLM360/Amber,ckpt_261,8.702582465277779
LLM360/Amber,ckpt_293,9.071831597222221
LLM360/Amber,ckpt_326,8.75509982638889
LLM360/Amber,ckpt_358,8.92578125
LLM360/Amber,main,8.746419270833334
