model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_reverse_first,correct_gerund_reverse_first,total_gerund_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_gerund_reverse_first,True,,False,0.0,0,178,0.0,0,178,8.90282654494382,9079.368837407264,0.00017190642126930011,0.00017190642126930011
LLM360/Amber,ckpt_032,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.366419417134831,1794.393242380132,0.0007136340292905795,0.0007136340292905795
LLM360/Amber,ckpt_065,compositional_gerund_reverse_first,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,7.783027563202247,2915.318125696432,0.0005086714016078165,0.0005086714016078165
LLM360/Amber,ckpt_097,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.461113061797753,2008.7808366461916,0.0006693360403335235,0.0006693360403335235
LLM360/Amber,ckpt_130,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.724236306179775,949.038849842456,0.0013640849439403443,0.0013640849439403443
LLM360/Amber,ckpt_163,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.366397471910112,1807.5795143899486,0.0007229642809592475,0.0007229642809592475
LLM360/Amber,ckpt_195,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.337495610955056,1750.695678518867,0.0007477758883124418,0.0007477758883124418
LLM360/Amber,ckpt_228,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.207799332865169,1496.262674252499,0.0008194728414347637,0.0008194728414347637
LLM360/Amber,ckpt_261,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.615695224719101,2312.652632310801,0.0005558017957384338,0.0005558017957384338
LLM360/Amber,ckpt_293,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.035090414325842,1418.77364168221,0.0010141668765373793,0.0010141668765373793
LLM360/Amber,ckpt_326,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.558615695224719,2211.818873714309,0.0006014310446056841,0.0006014310446056841
LLM360/Amber,ckpt_358,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.479942064606742,2106.442613329066,0.0006605061700528432,0.0006605061700528432
LLM360/Amber,main,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.153726299157303,1526.7540004033021,0.0009256353908115726,0.0009256353908115726
