model,checkpoint,simple_icl_translate_sp_eng
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.8258426966292135
LLM360/Amber,ckpt_065,0.8426966292134831
LLM360/Amber,ckpt_097,0.8764044943820225
LLM360/Amber,ckpt_130,0.898876404494382
LLM360/Amber,ckpt_163,0.8876404494382022
LLM360/Amber,ckpt_195,0.8764044943820225
LLM360/Amber,ckpt_228,0.8932584269662921
LLM360/Amber,ckpt_261,0.9157303370786517
LLM360/Amber,ckpt_293,0.9157303370786517
LLM360/Amber,ckpt_326,0.9213483146067416
LLM360/Amber,ckpt_358,0.9101123595505618
LLM360/Amber,main,0.9269662921348315
