model,checkpoint,compositional_translate_sp_eng_first
LLM360/Amber,ckpt_000,8.016305301966293
LLM360/Amber,ckpt_032,10.000065835674157
LLM360/Amber,ckpt_065,9.57494294241573
LLM360/Amber,ckpt_097,9.50443293539326
LLM360/Amber,ckpt_130,9.951544943820224
LLM360/Amber,ckpt_163,9.435502984550562
LLM360/Amber,ckpt_195,9.618262816011235
LLM360/Amber,ckpt_228,9.388540203651685
LLM360/Amber,ckpt_261,9.706197331460674
LLM360/Amber,ckpt_293,9.788864992977528
LLM360/Amber,ckpt_326,9.639681355337078
LLM360/Amber,ckpt_358,9.734550561797754
LLM360/Amber,main,9.187631671348315
