model,checkpoint,simple_icl_translate_sp_eng
LLM360/Amber,ckpt_000,11.78370786516854
LLM360/Amber,ckpt_032,6.266096822331461
LLM360/Amber,ckpt_065,6.120512201544944
LLM360/Amber,ckpt_097,5.548751316713483
LLM360/Amber,ckpt_130,5.107421875
LLM360/Amber,ckpt_163,5.094309603230337
LLM360/Amber,ckpt_195,5.42649446980337
LLM360/Amber,ckpt_228,4.85912811622191
LLM360/Amber,ckpt_261,4.904735779494382
LLM360/Amber,ckpt_293,5.019750702247191
LLM360/Amber,ckpt_326,5.338790379213483
LLM360/Amber,ckpt_358,5.814507988061798
LLM360/Amber,main,5.346548016151686
