model,checkpoint,simple_icl_first_letter
LLM360/Amber,ckpt_000,8.510978618421053
LLM360/Amber,ckpt_032,7.169839638157895
LLM360/Amber,ckpt_065,7.616879111842105
LLM360/Amber,ckpt_097,7.3530222039473685
LLM360/Amber,ckpt_130,7.2485608552631575
LLM360/Amber,ckpt_163,6.8500205592105265
LLM360/Amber,ckpt_195,7.113240131578947
LLM360/Amber,ckpt_228,6.8959087171052635
LLM360/Amber,ckpt_261,6.968564967105263
LLM360/Amber,ckpt_293,6.806496710526316
LLM360/Amber,ckpt_326,6.60993009868421
LLM360/Amber,ckpt_358,6.557421875
LLM360/Amber,main,6.186533717105263
