model,checkpoint,logical_ops
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.85
LLM360/Amber,ckpt_065,0.8833333333333333
LLM360/Amber,ckpt_097,0.8833333333333333
LLM360/Amber,ckpt_130,0.9666666666666667
LLM360/Amber,ckpt_163,0.9333333333333333
LLM360/Amber,ckpt_195,1.0
LLM360/Amber,ckpt_228,0.9833333333333333
LLM360/Amber,ckpt_261,0.95
LLM360/Amber,ckpt_293,0.9666666666666667
LLM360/Amber,ckpt_326,0.9666666666666667
LLM360/Amber,ckpt_358,0.9666666666666667
LLM360/Amber,main,0.9666666666666667
