model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_reverse,correct_translate_fr_eng_reverse,total_translate_fr_eng_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.515031067251462,181941.39217614665,6.620880642409531e-07,0.0002028722493641342
LLM360/Amber,ckpt_032,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.93640350877193,2077787.909067353,3.746927719626377e-07,0.0003325486637262089
LLM360/Amber,ckpt_065,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.75890899122807,7498733.984440845,3.465473546607379e-06,0.0008183206850045252
LLM360/Amber,ckpt_097,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.627695540935672,1386033.3041815963,1.603185775873312e-06,0.00037770829954923083
LLM360/Amber,ckpt_130,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.772523757309942,797070.747350062,5.54048211625366e-07,0.0003021690437473343
LLM360/Amber,ckpt_163,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.533214546783626,790807.1852743253,5.166928057336751e-07,0.0003923619682655011
LLM360/Amber,ckpt_195,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.478572733918128,742640.914202041,1.484587149452859e-06,0.00039497949022840437
LLM360/Amber,ckpt_228,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.269828216374268,468283.13869283564,1.6358252420030484e-06,0.0004910759325613245
LLM360/Amber,ckpt_261,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.506738852339181,808845.0534695822,1.50485540592749e-06,0.0003585692082673883
LLM360/Amber,ckpt_293,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.661595394736842,1241997.8828771694,1.4194934464355033e-06,0.0003440575488407613
LLM360/Amber,ckpt_326,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.619129203216374,662636.0928282748,1.6127495745316647e-06,0.0003587494445017447
LLM360/Amber,ckpt_358,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.75374634502924,1552434.2856047521,4.206151351959908e-07,0.0003119773858438872
LLM360/Amber,main,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,9.606131213450292,779791.2031633995,6.371812797670627e-07,0.000335871475426824
