model,checkpoint,compositional_plural_first
LLM360/Amber,ckpt_000,0.048484848484848485
LLM360/Amber,ckpt_032,0.9818181818181818
LLM360/Amber,ckpt_065,0.9393939393939394
LLM360/Amber,ckpt_097,0.9818181818181818
LLM360/Amber,ckpt_130,0.9757575757575757
LLM360/Amber,ckpt_163,0.9272727272727272
LLM360/Amber,ckpt_195,0.9515151515151515
LLM360/Amber,ckpt_228,0.9757575757575757
LLM360/Amber,ckpt_261,0.9636363636363636
LLM360/Amber,ckpt_293,0.9696969696969697
LLM360/Amber,ckpt_326,0.9515151515151515
LLM360/Amber,ckpt_358,0.8727272727272727
LLM360/Amber,main,0.9272727272727272
