model,checkpoint,textfrct_RL4
LLM360/Amber,ckpt_000,7.061197916666667
LLM360/Amber,ckpt_032,9.812825520833334
LLM360/Amber,ckpt_065,9.254557291666666
LLM360/Amber,ckpt_097,9.918619791666666
LLM360/Amber,ckpt_130,9.52978515625
LLM360/Amber,ckpt_163,9.28662109375
LLM360/Amber,ckpt_195,9.433268229166666
LLM360/Amber,ckpt_228,9.015462239583334
LLM360/Amber,ckpt_261,8.695638020833334
LLM360/Amber,ckpt_293,9.109700520833334
LLM360/Amber,ckpt_326,9.527994791666666
LLM360/Amber,ckpt_358,9.201171875
LLM360/Amber,main,8.947428385416666
