model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr,correct_translate_eng_fr,total_translate_eng_fr,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_translate_eng_fr,True,,False,0.0,0,173,0.0,0,173,10.187906430635838,330031.79367314884,1.9837277845532694e-06,0.00016002263260012997
LLM360/Amber,ckpt_032,simple_icl_translate_eng_fr,True,,False,0.653179190751445,113,173,0.653179190751445,113,173,5.412126309609826,7235.149959197579,0.00041883408907107477,0.019048964136057302
LLM360/Amber,ckpt_065,simple_icl_translate_eng_fr,True,,False,0.7283236994219653,126,173,0.7283236994219653,126,173,5.317659411127168,3446.454638113346,0.0004558854206404414,0.0200924310760936
LLM360/Amber,ckpt_097,simple_icl_translate_eng_fr,True,,False,0.815028901734104,141,173,0.815028901734104,141,173,5.132897173049133,5097.827930674416,0.0005452511253167257,0.023301113323324223
LLM360/Amber,ckpt_130,simple_icl_translate_eng_fr,True,,False,0.8265895953757225,143,173,0.8265895953757225,143,173,5.135160765895954,5785.833024682277,0.0003944185178357721,0.021803506763039517
LLM360/Amber,ckpt_163,simple_icl_translate_eng_fr,True,,False,0.8092485549132948,140,173,0.8092485549132948,140,173,4.992068957731214,2222.965434232996,0.00047656778276505834,0.023701812462433268
LLM360/Amber,ckpt_195,simple_icl_translate_eng_fr,True,,False,0.8439306358381503,146,173,0.8439306358381503,146,173,4.975478684971098,2840.189618534103,0.0008662033096056212,0.025815148304311974
LLM360/Amber,ckpt_228,simple_icl_translate_eng_fr,True,,False,0.8439306358381503,146,173,0.8439306358381503,146,173,4.741323834898844,1848.97882245404,0.0009887129278936975,0.031175805791325364
LLM360/Amber,ckpt_261,simple_icl_translate_eng_fr,True,,False,0.7861271676300579,136,173,0.7861271676300579,136,173,4.671807261560693,2338.35862504015,0.0008875396414417806,0.030516320886086447
LLM360/Amber,ckpt_293,simple_icl_translate_eng_fr,True,,False,0.8670520231213873,150,173,0.8670520231213873,150,173,4.8943901282514455,2957.867099515528,0.0009607877262221677,0.028053860175654248
LLM360/Amber,ckpt_326,simple_icl_translate_eng_fr,True,,False,0.8439306358381503,146,173,0.8439306358381503,146,173,5.1499221007947975,4609.941620543024,0.0004344454826695428,0.02289184679986906
LLM360/Amber,ckpt_358,simple_icl_translate_eng_fr,True,,False,0.861271676300578,149,173,0.861271676300578,149,173,5.32663475433526,6929.498789950071,0.0003707051186518468,0.02143970044730583
LLM360/Amber,main,simple_icl_translate_eng_fr,True,,False,0.8497109826589595,147,173,0.8497109826589595,147,173,5.189983742774566,3770.3650268210727,0.0003580766943714878,0.021655677332829106
