model,checkpoint,fact_extraction
LLM360/Amber,ckpt_000,7.515266927083333
LLM360/Amber,ckpt_032,4.018180338541667
LLM360/Amber,ckpt_065,3.996565755208333
LLM360/Amber,ckpt_097,3.8092447916666665
LLM360/Amber,ckpt_130,3.7804850260416667
LLM360/Amber,ckpt_163,3.828483072916667
LLM360/Amber,ckpt_195,3.9168294270833335
LLM360/Amber,ckpt_228,3.831298828125
LLM360/Amber,ckpt_261,3.897574869791667
LLM360/Amber,ckpt_293,3.9976399739583335
LLM360/Amber,ckpt_326,3.9104654947916666
LLM360/Amber,ckpt_358,3.875602213541667
LLM360/Amber,main,3.81181640625
