model,checkpoint,simple_icl_translate_fr_eng
LLM360/Amber,ckpt_000,11.510982142857143
LLM360/Amber,ckpt_032,6.806227678571428
LLM360/Amber,ckpt_065,6.661908482142858
LLM360/Amber,ckpt_097,6.192310267857143
LLM360/Amber,ckpt_130,5.883861607142857
LLM360/Amber,ckpt_163,5.806897321428571
LLM360/Amber,ckpt_195,5.880630580357143
LLM360/Amber,ckpt_228,5.447260044642857
LLM360/Amber,ckpt_261,5.1945703125
LLM360/Amber,ckpt_293,5.71953125
LLM360/Amber,ckpt_326,5.98375
LLM360/Amber,ckpt_358,6.157198660714286
LLM360/Amber,main,5.844107142857143
