model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RG1,correct_RG1,total_RG1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,8.569791666666667,6078.3761750741,0.0002190483267785885,0.0002190483267785885
LLM360/Amber,ckpt_032,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.842708333333333,28300.947696358515,8.605721050281969e-05,8.605721050281969e-05
LLM360/Amber,ckpt_065,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.81953125,27156.896569397628,7.255619010878404e-05,7.255619010878404e-05
LLM360/Amber,ckpt_097,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.797526041666666,26542.558500500745,8.70747994995683e-05,8.70747994995683e-05
LLM360/Amber,ckpt_130,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,8.737890625,8711.507257596728,0.00022256168785060392,0.00022256168785060392
LLM360/Amber,ckpt_163,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.248046875,14373.803649555228,0.00013214908216647984,0.00013214908216647984
LLM360/Amber,ckpt_195,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.149088541666666,13141.924432115264,0.00015262547021159493,0.00015262547021159493
LLM360/Amber,ckpt_228,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,8.916145833333333,9112.972366906812,0.00016805258237785742,0.00016805258237785742
LLM360/Amber,ckpt_261,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,8.767317708333334,8566.591817787872,0.00021197410201097362,0.00021197410201097362
LLM360/Amber,ckpt_293,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,8.909244791666667,9575.627522095321,0.0001901975449358659,0.0001901975449358659
LLM360/Amber,ckpt_326,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.317838541666667,14444.601222751557,0.00011686629154651291,0.00011686629154651291
LLM360/Amber,ckpt_358,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.350911458333334,15083.54828565778,0.00012299285485080564,0.00012299285485080564
LLM360/Amber,main,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,9.47890625,16439.147628897746,0.00010543277848961602,0.00010543277848961602
