model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_upper_reverse,correct_gerund_upper_reverse,total_gerund_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,7.793802668539326,4519.076701546799,7.86927081652067e-13,0.0006657895622196756
LLM360/Amber,ckpt_032,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.833117538623595,177.5923538415261,5.2302162217889206e-08,0.010778460200281054
LLM360/Amber,ckpt_065,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.828267643960674,192.28538616969394,4.086357960353472e-08,0.01111334667286231
LLM360/Amber,ckpt_097,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.597305126404494,141.3135470574899,1.7801473724579675e-07,0.013638660083984611
LLM360/Amber,ckpt_130,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,4.701468135533708,143.62647153215647,1.2575520180548386e-07,0.01178537623198012
LLM360/Amber,ckpt_163,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.906853493679775,204.5949696514464,6.045788305245693e-08,0.010169775669218098
LLM360/Amber,ckpt_195,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.55051790730337,127.07164029515238,1.2939767412660468e-07,0.013785502270526136
LLM360/Amber,ckpt_228,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,4.476760007022472,116.89782002844308,3.2608017984963295e-07,0.015398831111660929
LLM360/Amber,ckpt_261,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.426340853230337,117.12117123131382,2.0113452529536526e-07,0.015435061269798708
LLM360/Amber,ckpt_293,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.610165028089888,148.94193197326308,7.772218499568631e-08,0.01338864455250525
LLM360/Amber,ckpt_326,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,4.63452422752809,153.63235517593628,1.2359234071955724e-07,0.013141225034649052
LLM360/Amber,ckpt_358,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.637607531601123,145.85415741517096,7.211132192363031e-08,0.012708147321585596
LLM360/Amber,main,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,4.527201106039326,134.9896293894413,7.579816868527655e-08,0.014079488219809765
