model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_present_to_gerund,correct_present_to_gerund,total_present_to_gerund,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_present_to_gerund,True,,False,0.0,0,179,0.0,0,179,9.57930342178771,121910.67225327755,9.415266587804805e-08,0.000220920670444658
LLM360/Amber,ckpt_032,simple_icl_present_to_gerund,True,,False,0.9608938547486033,172,179,0.9608938547486033,172,179,3.471865179818436,412.863801827669,0.0009793013292746181,0.0470616507298617
LLM360/Amber,ckpt_065,simple_icl_present_to_gerund,True,,False,0.9776536312849162,175,179,0.9776536312849162,175,179,3.188689333100559,74.63311772296431,0.001422012223331089,0.05868120759987491
LLM360/Amber,ckpt_097,simple_icl_present_to_gerund,True,,False,0.9720670391061452,174,179,0.9720670391061452,174,179,3.101742536662011,87.17985249583654,0.0016531263146439903,0.06376632054159055
LLM360/Amber,ckpt_130,simple_icl_present_to_gerund,True,,False,0.9217877094972067,165,179,0.9217877094972067,165,179,3.5613270338687153,305.6747455253571,0.0006096720591821066,0.04375786043887098
LLM360/Amber,ckpt_163,simple_icl_present_to_gerund,True,,False,0.9608938547486033,172,179,0.9608938547486033,172,179,3.2287447625698324,147.63070052950928,0.001252577178445443,0.05866148750293269
LLM360/Amber,ckpt_195,simple_icl_present_to_gerund,True,,False,0.9217877094972067,165,179,0.9217877094972067,165,179,3.384923839036313,210.7010961311631,0.0008935837936040305,0.05053615591888727
LLM360/Amber,ckpt_228,simple_icl_present_to_gerund,True,,False,0.9273743016759777,166,179,0.9273743016759777,166,179,3.1194352304469275,119.8445843013561,0.0014711215761709583,0.06257678706227757
LLM360/Amber,ckpt_261,simple_icl_present_to_gerund,True,,False,0.9329608938547486,167,179,0.9329608938547486,167,179,3.232394596717877,264.7611173149369,0.001236145759563037,0.0579732705714836
LLM360/Amber,ckpt_293,simple_icl_present_to_gerund,True,,False,0.9497206703910615,170,179,0.9497206703910615,170,179,3.107798315293296,137.6719637285504,0.0014744084891517312,0.06333766744575313
LLM360/Amber,ckpt_326,simple_icl_present_to_gerund,True,,False,0.9497206703910615,170,179,0.9497206703910615,170,179,3.3858185666899443,172.18584593785914,0.0008185563807376485,0.05042876700664667
LLM360/Amber,ckpt_358,simple_icl_present_to_gerund,True,,False,0.9217877094972067,165,179,0.9217877094972067,165,179,3.2845943173882683,152.23075160665653,0.0010369805486726213,0.055728891089323995
LLM360/Amber,main,simple_icl_present_to_gerund,True,,False,0.9217877094972067,165,179,0.9217877094972067,165,179,3.147057218924581,132.02754949074773,0.0014350006556220287,0.06300914795511572
