model,checkpoint,textfrct_RL1
LLM360/Amber,ckpt_000,8.717838541666667
LLM360/Amber,ckpt_032,10.20078125
LLM360/Amber,ckpt_065,10.654427083333333
LLM360/Amber,ckpt_097,10.559244791666666
LLM360/Amber,ckpt_130,10.513541666666667
LLM360/Amber,ckpt_163,11.665885416666667
LLM360/Amber,ckpt_195,11.700260416666667
LLM360/Amber,ckpt_228,11.33828125
LLM360/Amber,ckpt_261,11.060416666666667
LLM360/Amber,ckpt_293,10.969270833333333
LLM360/Amber,ckpt_326,11.410677083333333
LLM360/Amber,ckpt_358,11.64765625
LLM360/Amber,main,11.437239583333334
