model,checkpoint,textfrct_I1
LLM360/Amber,ckpt_000,7.90234375
LLM360/Amber,ckpt_032,11.638541666666667
LLM360/Amber,ckpt_065,8.599609375
LLM360/Amber,ckpt_097,8.789583333333333
LLM360/Amber,ckpt_130,10.75
LLM360/Amber,ckpt_163,10.079166666666667
LLM360/Amber,ckpt_195,10.495833333333334
LLM360/Amber,ckpt_228,10.0265625
LLM360/Amber,ckpt_261,10.341666666666667
LLM360/Amber,ckpt_293,9.769791666666666
LLM360/Amber,ckpt_326,10.992708333333333
LLM360/Amber,ckpt_358,9.585416666666667
LLM360/Amber,main,8.588932291666667
