model,checkpoint,compositional_plural_reverse_first
LLM360/Amber,ckpt_000,7.641903409090909
LLM360/Amber,ckpt_032,8.782386363636364
LLM360/Amber,ckpt_065,8.876160037878789
LLM360/Amber,ckpt_097,8.067258522727272
LLM360/Amber,ckpt_130,8.07566287878788
LLM360/Amber,ckpt_163,8.608901515151516
LLM360/Amber,ckpt_195,8.284114583333333
LLM360/Amber,ckpt_228,8.343087121212122
LLM360/Amber,ckpt_261,7.80999053030303
LLM360/Amber,ckpt_293,8.633617424242424
LLM360/Amber,ckpt_326,8.788139204545455
LLM360/Amber,ckpt_358,9.138967803030303
LLM360/Amber,main,8.153125
