model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,token_reversal,True,,False,0.0,0,20,11.341796875,1135495.7766866446,6.226552463684502e-09,6.814089104171298e-05
LLM360/Amber,ckpt_032,token_reversal,True,,False,0.05,1,20,8.25693359375,17622.962194946038,7.682872307946585e-05,0.007072625716235082
LLM360/Amber,ckpt_065,token_reversal,True,,False,0.05,1,20,6.73740234375,7671.923386634109,9.704906519080264e-05,0.005498882092702574
LLM360/Amber,ckpt_097,token_reversal,True,,False,0.15,3,20,6.8994140625,4840.270759541616,5.495140509095046e-05,0.0036746104753490097
LLM360/Amber,ckpt_130,token_reversal,True,,False,0.2,4,20,6.1701171875,3589.8868850141926,9.866603999847401e-05,0.011677480161317125
LLM360/Amber,ckpt_163,token_reversal,True,,False,0.05,1,20,6.38779296875,2831.744072512336,7.682258228999239e-05,0.008432678685075658
LLM360/Amber,ckpt_195,token_reversal,True,,False,0.3,6,20,6.1349609375,9232.30661628669,0.00017505901401216993,0.011890094081672888
LLM360/Amber,ckpt_228,token_reversal,True,,False,0.1,2,20,6.17509765625,2033.6268147788692,0.0003884803103276364,0.0073139006688014065
LLM360/Amber,ckpt_261,token_reversal,True,,False,0.05,1,20,5.7416015625,2190.3276878765273,0.00018398570955420728,0.011910190329313527
LLM360/Amber,ckpt_293,token_reversal,True,,False,0.05,1,20,5.9810546875,1216.5467262679397,0.0004745998924005369,0.007645354976328006
LLM360/Amber,ckpt_326,token_reversal,True,,False,0.2,4,20,5.12255859375,1209.7442545172466,0.0007629369282608592,0.017128221544741376
LLM360/Amber,ckpt_358,token_reversal,True,,False,0.15,3,20,6.0076171875,2153.7232778793887,0.0002618381497203045,0.00805343332205485
LLM360/Amber,main,token_reversal,True,,False,0.15,3,20,5.65791015625,1104.4303136123722,0.00048050431246715754,0.007925920862677932
