model,checkpoint,textfrct_V5
LLM360/Amber,ckpt_000,6.6025390625
LLM360/Amber,ckpt_032,7.095052083333333
LLM360/Amber,ckpt_065,4.631673177083333
LLM360/Amber,ckpt_097,5.802951388888889
LLM360/Amber,ckpt_130,6.688693576388889
LLM360/Amber,ckpt_163,5.731119791666667
LLM360/Amber,ckpt_195,5.457573784722222
LLM360/Amber,ckpt_228,5.403211805555555
LLM360/Amber,ckpt_261,5.439453125
LLM360/Amber,ckpt_293,5.711480034722222
LLM360/Amber,ckpt_326,5.703667534722222
LLM360/Amber,ckpt_358,5.305230034722222
LLM360/Amber,main,5.936957465277778
