model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RG2,correct_RG2,total_RG2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,8.453515625,5840.335326201896,0.0002483162493199692,0.0002483162493199692
LLM360/Amber,ckpt_032,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.8078125,31436.70982902572,0.00016717203716141006,0.00016717203716141006
LLM360/Amber,ckpt_065,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.959114583333333,32109.969173609858,8.807466945009169e-05,8.807466945009169e-05
LLM360/Amber,ckpt_097,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.895052083333333,31114.30399636303,8.9399951639353e-05,8.9399951639353e-05
LLM360/Amber,ckpt_130,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,8.878515625,11490.568977461107,0.0002906655115514587,0.0002906655115514587
LLM360/Amber,ckpt_163,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.3125,17447.779053285703,0.0001516479890945397,0.0001516479890945397
LLM360/Amber,ckpt_195,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.189453125,15880.973806841354,0.0001822743000969229,0.0001822743000969229
LLM360/Amber,ckpt_228,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,8.964322916666667,11647.985718243492,0.00021027593035830995,0.00021027593035830995
LLM360/Amber,ckpt_261,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,8.847786458333333,10360.079324659204,0.00025181213536035223,0.00025181213536035223
LLM360/Amber,ckpt_293,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,8.995963541666667,11683.843966707243,0.00021199541986647262,0.00021199541986647262
LLM360/Amber,ckpt_326,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.233333333333333,14397.232479190445,0.00015334238517651335,0.00015334238517651335
LLM360/Amber,ckpt_358,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.3109375,15763.164747024884,0.0001420760129421702,0.0001420760129421702
LLM360/Amber,main,textfrct_RG2,True,,False,0.0,0,30,0.0,0,30,9.41875,16948.1869183765,0.00012284909726236953,0.00012284909726236953
