model,checkpoint,compositional_translate_fr_eng_lower
LLM360/Amber,ckpt_000,11.48152767319277
LLM360/Amber,ckpt_032,7.315241434487952
LLM360/Amber,ckpt_065,6.381671216114458
LLM360/Amber,ckpt_097,6.352727315512048
LLM360/Amber,ckpt_130,6.280708772590361
LLM360/Amber,ckpt_163,5.830225197665663
LLM360/Amber,ckpt_195,5.765048475150603
LLM360/Amber,ckpt_228,5.433317253388554
LLM360/Amber,ckpt_261,5.577448465737952
LLM360/Amber,ckpt_293,5.716290945030121
LLM360/Amber,ckpt_326,5.625717714608434
LLM360/Amber,ckpt_358,5.74828219126506
LLM360/Amber,main,5.522719785391566
