model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_lower,correct_translate_sp_eng_lower,total_translate_sp_eng_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_sp_eng_lower,True,,False,0.0,0,178,0.0,0,178,11.56688904494382,1060149.3325985607,3.646437611712252e-06,9.011526086614607e-05
LLM360/Amber,ckpt_032,compositional_translate_sp_eng_lower,True,,False,0.8033707865168539,143,178,0.8033707865168539,143,178,6.485636850421348,74665.78635772054,0.0005586590057935261,0.008540459156488052
LLM360/Amber,ckpt_065,compositional_translate_sp_eng_lower,True,,False,0.8539325842696629,152,178,0.8539325842696629,152,178,5.79759919241573,3427.1998501369053,0.0011204524060742626,0.01195763771124638
LLM360/Amber,ckpt_097,compositional_translate_sp_eng_lower,True,,False,0.8707865168539326,155,178,0.8707865168539326,155,178,5.671803678019663,9894.02115473912,0.0013176307000977738,0.01395374744942168
LLM360/Amber,ckpt_130,compositional_translate_sp_eng_lower,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,5.595494645365169,2766.6229563340758,0.0010517014565721212,0.013078143241141755
LLM360/Amber,ckpt_163,compositional_translate_sp_eng_lower,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,4.976606390449438,816.5963362829269,0.002408398997236875,0.018983247649380065
LLM360/Amber,ckpt_195,compositional_translate_sp_eng_lower,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,5.084620786516854,7698.571926677938,0.002103046781131143,0.019059859779427233
LLM360/Amber,ckpt_228,compositional_translate_sp_eng_lower,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,4.68164611130618,2713.885141934933,0.0037279059809545313,0.023547398258322656
LLM360/Amber,ckpt_261,compositional_translate_sp_eng_lower,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,4.921359287219101,3171.116224810038,0.0027835531266645315,0.02009193396339241
LLM360/Amber,ckpt_293,compositional_translate_sp_eng_lower,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,5.077334971910112,9541.37131439224,0.0021557617501634747,0.020078185868292128
LLM360/Amber,ckpt_326,compositional_translate_sp_eng_lower,True,,False,0.9101123595505618,162,178,0.9101123595505618,162,178,5.119820926966292,2938.910656977217,0.0020681344163037928,0.018293027405837985
LLM360/Amber,ckpt_358,compositional_translate_sp_eng_lower,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,5.246938641151686,3136.1542946823906,0.0016638480475567568,0.01783790991924586
LLM360/Amber,main,compositional_translate_sp_eng_lower,True,,False,0.9325842696629213,166,178,0.9325842696629213,166,178,4.934734901685394,7490.009142986499,0.0023946964358573116,0.020695559972110665
