model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_lower,correct_translate_fr_eng_lower,total_translate_fr_eng_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_fr_eng_lower,True,,False,0.0,0,166,0.0,0,166,11.48152767319277,829675.7828083021,3.8948137292648084e-06,0.00011338108150493142
LLM360/Amber,ckpt_032,compositional_translate_fr_eng_lower,True,,False,0.6927710843373494,115,166,0.6927710843373494,115,166,7.315241434487952,271022.38993601466,0.0003290696663594191,0.007903514503673995
LLM360/Amber,ckpt_065,compositional_translate_fr_eng_lower,True,,False,0.7650602409638554,127,166,0.7650602409638554,127,166,6.381671216114458,108054.03751277809,0.0011969601480934988,0.01089627488801094
LLM360/Amber,ckpt_097,compositional_translate_fr_eng_lower,True,,False,0.8012048192771084,133,166,0.8012048192771084,133,166,6.352727315512048,47973.19616707271,0.0008976293847823123,0.011929570193520877
LLM360/Amber,ckpt_130,compositional_translate_fr_eng_lower,True,,False,0.8132530120481928,135,166,0.8132530120481928,135,166,6.280708772590361,81511.31320823012,0.0007151434669443517,0.011252905349235941
LLM360/Amber,ckpt_163,compositional_translate_fr_eng_lower,True,,False,0.8313253012048193,138,166,0.8313253012048193,138,166,5.830225197665663,56312.49780336014,0.001481288980730214,0.015397506667335654
LLM360/Amber,ckpt_195,compositional_translate_fr_eng_lower,True,,False,0.8433734939759037,140,166,0.8433734939759037,140,166,5.765048475150603,11874.59124058498,0.0014401835254276843,0.016030721186637457
LLM360/Amber,ckpt_228,compositional_translate_fr_eng_lower,True,,False,0.8192771084337349,136,166,0.8192771084337349,136,166,5.433317253388554,13502.770064944516,0.0023395129129963545,0.019198987479319703
LLM360/Amber,ckpt_261,compositional_translate_fr_eng_lower,True,,False,0.8313253012048193,138,166,0.8313253012048193,138,166,5.577448465737952,853473.9032892309,0.0016653182633346079,0.016855998056593394
LLM360/Amber,ckpt_293,compositional_translate_fr_eng_lower,True,,False,0.8433734939759037,140,166,0.8433734939759037,140,166,5.716290945030121,21919.702708337736,0.001456307109608851,0.01706935660085461
LLM360/Amber,ckpt_326,compositional_translate_fr_eng_lower,True,,False,0.8433734939759037,140,166,0.8433734939759037,140,166,5.625717714608434,45117.68879144255,0.0016294319502240678,0.017419766633630925
LLM360/Amber,ckpt_358,compositional_translate_fr_eng_lower,True,,False,0.8734939759036144,145,166,0.8734939759036144,145,166,5.74828219126506,53014.86753474967,0.0013498518900507065,0.016639945962002467
LLM360/Amber,main,compositional_translate_fr_eng_lower,True,,False,0.8734939759036144,145,166,0.8734939759036144,145,166,5.522719785391566,7127.762817928022,0.0016955914145663688,0.01813052458308874
