model,checkpoint,simple_icl_country_to_capital
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.7717391304347826
LLM360/Amber,ckpt_065,0.8043478260869565
LLM360/Amber,ckpt_097,0.7934782608695652
LLM360/Amber,ckpt_130,0.7880434782608695
LLM360/Amber,ckpt_163,0.8206521739130435
LLM360/Amber,ckpt_195,0.782608695652174
LLM360/Amber,ckpt_228,0.7989130434782609
LLM360/Amber,ckpt_261,0.7934782608695652
LLM360/Amber,ckpt_293,0.8152173913043478
LLM360/Amber,ckpt_326,0.8152173913043478
LLM360/Amber,ckpt_358,0.7989130434782609
LLM360/Amber,main,0.8043478260869565
