model,checkpoint,string_analogy
LLM360/Amber,ckpt_000,9.1359375
LLM360/Amber,ckpt_032,7.9921875
LLM360/Amber,ckpt_065,7.0005859375
LLM360/Amber,ckpt_097,7.295703125
LLM360/Amber,ckpt_130,6.9794921875
LLM360/Amber,ckpt_163,7.116796875
LLM360/Amber,ckpt_195,7.650390625
LLM360/Amber,ckpt_228,6.9681640625
LLM360/Amber,ckpt_261,7.212109375
LLM360/Amber,ckpt_293,7.82734375
LLM360/Amber,ckpt_326,7.8220703125
LLM360/Amber,ckpt_358,7.195703125
LLM360/Amber,main,7.29921875
