model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_MA3,correct_MA3,total_MA3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_MA3,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_textfrct_MA3_First_And_Last_Name_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
LLM360/Amber,ckpt_032,textfrct_MA3,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_textfrct_MA3_First_And_Last_Name_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
LLM360/Amber,ckpt_065,textfrct_MA3,True,,True,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_textfrct_MA3_First_And_Last_Name_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
LLM360/Amber,ckpt_097,textfrct_MA3,True,,True,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_textfrct_MA3_First_And_Last_Name_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
LLM360/Amber,ckpt_130,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,6.943424479166667,17306.90845585538,2.194658701214385e-05,0.00439945536172982
LLM360/Amber,ckpt_163,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.287825520833334,35169.144430833374,1.4416706214379509e-05,0.0035249433671365057
LLM360/Amber,ckpt_195,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.47890625,84605.3493400982,6.899753283496904e-06,0.003408823051776811
LLM360/Amber,ckpt_228,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.823307291666667,155599.50322598685,4.474263106991058e-06,0.0026912331939744688
LLM360/Amber,ckpt_261,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.177083333333333,39323.20864387395,1.282017700824901e-05,0.003997022824064075
LLM360/Amber,ckpt_293,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.009309895833334,27578.083529646166,1.5125044353072018e-05,0.004846884548780157
LLM360/Amber,ckpt_326,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.873828125,168906.43939766276,2.4933848547128824e-06,0.0024385047116900005
LLM360/Amber,ckpt_358,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.384505208333334,66669.05111260903,8.3024239609288e-06,0.0031917927796371393
LLM360/Amber,main,textfrct_MA3,True,,False,,,0.0,0,30,0.0,0.0,30.0,7.137760416666667,34633.43340284921,1.2437882604004025e-05,0.003654513549983353
