model,checkpoint,basic_arithmetic
LLM360/Amber,ckpt_000,7.1890625
LLM360/Amber,ckpt_032,5.9005859375
LLM360/Amber,ckpt_065,6.1265625
LLM360/Amber,ckpt_097,4.6234375
LLM360/Amber,ckpt_130,4.40703125
LLM360/Amber,ckpt_163,4.63583984375
LLM360/Amber,ckpt_195,4.28046875
LLM360/Amber,ckpt_228,4.0400390625
LLM360/Amber,ckpt_261,4.24375
LLM360/Amber,ckpt_293,4.667578125
LLM360/Amber,ckpt_326,4.6205078125
LLM360/Amber,ckpt_358,4.395703125
LLM360/Amber,main,4.41845703125
