model,checkpoint,textfrct_V4
LLM360/Amber,ckpt_000,7.340711805555555
LLM360/Amber,ckpt_032,7.370442708333333
LLM360/Amber,ckpt_065,4.814561631944445
LLM360/Amber,ckpt_097,6.0341796875
LLM360/Amber,ckpt_130,6.836480034722222
LLM360/Amber,ckpt_163,6.003472222222222
LLM360/Amber,ckpt_195,5.740885416666667
LLM360/Amber,ckpt_228,5.610134548611111
LLM360/Amber,ckpt_261,5.583441840277778
LLM360/Amber,ckpt_293,6.040473090277778
LLM360/Amber,ckpt_326,5.980360243055555
LLM360/Amber,ckpt_358,5.641710069444445
LLM360/Amber,main,6.2568359375
