model,checkpoint,compositional_first_upper
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.9052631578947369
LLM360/Amber,ckpt_065,0.7736842105263158
LLM360/Amber,ckpt_097,0.9157894736842105
LLM360/Amber,ckpt_130,0.9
LLM360/Amber,ckpt_163,0.8631578947368421
LLM360/Amber,ckpt_195,0.8578947368421053
LLM360/Amber,ckpt_228,0.8736842105263158
LLM360/Amber,ckpt_261,0.9
LLM360/Amber,ckpt_293,0.8631578947368421
LLM360/Amber,ckpt_326,0.7684210526315789
LLM360/Amber,ckpt_358,0.8105263157894737
LLM360/Amber,main,0.7842105263157895
