model,checkpoint,compositional_translate_sp_eng_upper
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.4943820224719101
LLM360/Amber,ckpt_065,0.6966292134831461
LLM360/Amber,ckpt_097,0.7528089887640449
LLM360/Amber,ckpt_130,0.7865168539325843
LLM360/Amber,ckpt_163,0.7696629213483146
LLM360/Amber,ckpt_195,0.8370786516853933
LLM360/Amber,ckpt_228,0.8033707865168539
LLM360/Amber,ckpt_261,0.8146067415730337
LLM360/Amber,ckpt_293,0.8202247191011236
LLM360/Amber,ckpt_326,0.8370786516853933
LLM360/Amber,ckpt_358,0.8764044943820225
LLM360/Amber,main,0.8426966292134831
