model,checkpoint,basic_arithmetic
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.2
LLM360/Amber,ckpt_065,0.7
LLM360/Amber,ckpt_097,0.9
LLM360/Amber,ckpt_130,1.0
LLM360/Amber,ckpt_163,1.0
LLM360/Amber,ckpt_195,1.0
LLM360/Amber,ckpt_228,1.0
LLM360/Amber,ckpt_261,1.0
LLM360/Amber,ckpt_293,1.0
LLM360/Amber,ckpt_326,1.0
LLM360/Amber,ckpt_358,1.0
LLM360/Amber,main,1.0
