model,checkpoint,compositional_translate_sp_eng_first
LLM360/Amber,ckpt_000,0.03932584269662921
LLM360/Amber,ckpt_032,0.2247191011235955
LLM360/Amber,ckpt_065,0.2303370786516854
LLM360/Amber,ckpt_097,0.23595505617977527
LLM360/Amber,ckpt_130,0.25280898876404495
LLM360/Amber,ckpt_163,0.25280898876404495
LLM360/Amber,ckpt_195,0.2696629213483146
LLM360/Amber,ckpt_228,0.24157303370786518
LLM360/Amber,ckpt_261,0.19662921348314608
LLM360/Amber,ckpt_293,0.2303370786516854
LLM360/Amber,ckpt_326,0.2247191011235955
LLM360/Amber,ckpt_358,0.23595505617977527
LLM360/Amber,main,0.21348314606741572
