model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_extract_entity,accuracy_extract_number,accuracy_extract_location,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,fact_extraction,True,,False,0.03333333333333333,2,60,0.0,0.1,0.0,7.515266927083333,21416.295990563933,3.180929517274626e-05,0.003508992487223464
LLM360/Amber,ckpt_032,fact_extraction,True,,False,0.7666666666666667,46,60,0.85,1.0,0.45,4.018180338541667,1019.6152459064691,0.00021701406453737023,0.059186902716520245
LLM360/Amber,ckpt_065,fact_extraction,True,,False,0.8,48,60,0.95,1.0,0.45,3.996565755208333,906.8838377237556,0.00020185648106185996,0.05940603866469494
LLM360/Amber,ckpt_097,fact_extraction,True,,False,0.8166666666666667,49,60,0.9,1.0,0.55,3.8092447916666665,595.1843549633805,0.0003170148770491222,0.06580112099956106
LLM360/Amber,ckpt_130,fact_extraction,True,,False,0.7166666666666667,43,60,0.85,1.0,0.3,3.7804850260416667,509.07315835764445,0.00031347275066648147,0.06559532042241838
LLM360/Amber,ckpt_163,fact_extraction,True,,False,0.8166666666666667,49,60,0.9,1.0,0.55,3.828483072916667,713.9067132615977,0.00029474963217602845,0.06621578400957133
LLM360/Amber,ckpt_195,fact_extraction,True,,False,0.7666666666666667,46,60,0.85,1.0,0.45,3.9168294270833335,935.1522818098198,0.00025625370449989095,0.06397372830438491
LLM360/Amber,ckpt_228,fact_extraction,True,,False,0.8,48,60,0.85,1.0,0.55,3.831298828125,831.1975999671039,0.0003108946022117824,0.06837236241701602
LLM360/Amber,ckpt_261,fact_extraction,True,,False,0.7666666666666667,46,60,0.9,1.0,0.4,3.897574869791667,776.2449900437167,0.0002644055578201109,0.06366468279977414
LLM360/Amber,ckpt_293,fact_extraction,True,,False,0.7666666666666667,46,60,0.9,1.0,0.4,3.9976399739583335,833.6674612047119,0.00021116892955155644,0.06037826012019505
LLM360/Amber,ckpt_326,fact_extraction,True,,False,0.75,45,60,0.8,1.0,0.45,3.9104654947916666,727.5701016888854,0.0002466214972284798,0.062143463373035696
LLM360/Amber,ckpt_358,fact_extraction,True,,False,0.7666666666666667,46,60,0.85,1.0,0.45,3.875602213541667,651.2463473916227,0.0002760712337983163,0.06321829217382151
LLM360/Amber,main,fact_extraction,True,,False,0.8,48,60,0.85,1.0,0.55,3.81181640625,575.3665480953634,0.0003175888135063479,0.06594983694997804
