model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_first,correct_translate_eng_fr_first,total_translate_eng_fr_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_eng_fr_first,True,,False,0.028901734104046242,5,173,0.028901734104046242,5,173,8.583995664739884,21385.869871143103,0.0003406153797856492,0.0003406153797856492
LLM360/Amber,ckpt_032,compositional_translate_eng_fr_first,True,,False,0.27167630057803466,47,173,0.27167630057803466,47,173,10.556674494219653,899262.768596838,0.0001941410371842924,0.0001941410371842924
LLM360/Amber,ckpt_065,compositional_translate_eng_fr_first,True,,False,0.23699421965317918,41,173,0.23699421965317918,41,173,10.47507225433526,890642.1442983341,0.0002847490654466763,0.0002847490654466763
LLM360/Amber,ckpt_097,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,10.19233200867052,193652.54123124693,0.00019378329617385744,0.00019378329617385744
LLM360/Amber,ckpt_130,compositional_translate_eng_fr_first,True,,False,0.2543352601156069,44,173,0.2543352601156069,44,173,10.793510657514451,3291043.390894407,0.00010602781429171325,0.00010602781429171325
LLM360/Amber,ckpt_163,compositional_translate_eng_fr_first,True,,False,0.19653179190751446,34,173,0.19653179190751446,34,173,10.690864342485549,944979.7738820714,0.00014281454735376066,0.00014281454735376066
LLM360/Amber,ckpt_195,compositional_translate_eng_fr_first,True,,False,0.2254335260115607,39,173,0.2254335260115607,39,173,10.244919617052023,331969.43866300344,0.00013605966219011216,0.00013605966219011216
LLM360/Amber,ckpt_228,compositional_translate_eng_fr_first,True,,False,0.23121387283236994,40,173,0.23121387283236994,40,173,10.185038836705202,700217.6368179423,0.00015404863825578928,0.00015404863825578928
LLM360/Amber,ckpt_261,compositional_translate_eng_fr_first,True,,False,0.1907514450867052,33,173,0.1907514450867052,33,173,10.40774024566474,284504.9958627895,0.00012191782510064953,0.00012191782510064953
LLM360/Amber,ckpt_293,compositional_translate_eng_fr_first,True,,False,0.21965317919075145,38,173,0.21965317919075145,38,173,10.646518244219653,564566.0793705264,0.0001532584215322361,0.0001532584215322361
LLM360/Amber,ckpt_326,compositional_translate_eng_fr_first,True,,False,0.21965317919075145,38,173,0.21965317919075145,38,173,10.601517341040463,607157.4230392576,0.00013968424681894451,0.00013968424681894451
LLM360/Amber,ckpt_358,compositional_translate_eng_fr_first,True,,False,0.1676300578034682,29,173,0.1676300578034682,29,173,10.469811235549132,2474681.810878701,0.00019168455162472267,0.00019168455162472267
LLM360/Amber,main,compositional_translate_eng_fr_first,True,,False,0.1907514450867052,33,173,0.1907514450867052,33,173,9.95998916184971,650874.1800624435,0.0002767355993767699,0.0002767355993767699
