model,checkpoint,simple_icl_singular_to_plural
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.9151515151515152
LLM360/Amber,ckpt_065,0.9212121212121213
LLM360/Amber,ckpt_097,0.9515151515151515
LLM360/Amber,ckpt_130,0.9454545454545454
LLM360/Amber,ckpt_163,0.9515151515151515
LLM360/Amber,ckpt_195,0.9454545454545454
LLM360/Amber,ckpt_228,0.9575757575757575
LLM360/Amber,ckpt_261,0.9515151515151515
LLM360/Amber,ckpt_293,0.9454545454545454
LLM360/Amber,ckpt_326,0.9454545454545454
LLM360/Amber,ckpt_358,0.9272727272727272
LLM360/Amber,main,0.9212121212121213
