model,checkpoint,simple
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.7904953145917001
LLM360/Amber,ckpt_065,0.8286479250334672
LLM360/Amber,ckpt_097,0.9055755395683454
LLM360/Amber,ckpt_130,0.9039070749736009
LLM360/Amber,ckpt_163,0.9017951425554382
LLM360/Amber,ckpt_195,0.8944033790918691
LLM360/Amber,ckpt_228,0.9017951425554382
LLM360/Amber,ckpt_261,0.820855614973262
LLM360/Amber,ckpt_293,0.8556149732620321
LLM360/Amber,ckpt_326,0.8422459893048129
LLM360/Amber,ckpt_358,0.250334672021419
LLM360/Amber,main,0.9022801302931596
