model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_I2,correct_I2,total_I2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,5.770228794642857,405.3372332062117,0.003980868772254192,0.003980868772254192
LLM360/Amber,ckpt_032,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.959402901785714,8915.74521766407,0.00014865070386735043,0.00014865070386735043
LLM360/Amber,ckpt_065,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,7.500279017857143,2245.2494052256166,0.0006773935226533853,0.0006773935226533853
LLM360/Amber,ckpt_097,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.255998883928571,4414.3554627635285,0.0003037503544368123,0.0003037503544368123
LLM360/Amber,ckpt_130,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.220145089285714,11874.496198789604,0.00011966951403360376,0.00011966951403360376
LLM360/Amber,ckpt_163,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.650390625,6662.954191253576,0.0002126022601520825,0.0002126022601520825
LLM360/Amber,ckpt_195,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.348353794642858,4966.364157878719,0.00028229250789197887,0.00028229250789197887
LLM360/Amber,ckpt_228,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.124720982142858,4071.023758796468,0.0003670158366622496,0.0003670158366622496
LLM360/Amber,ckpt_261,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.366629464285714,5179.729190730893,0.0002898322731058322,0.0002898322731058322
LLM360/Amber,ckpt_293,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,7.432477678571429,1971.6244622880315,0.0006910992678687792,0.0006910992678687792
LLM360/Amber,ckpt_326,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.674665178571429,6905.072025174898,0.00020418871285290992,0.00020418871285290992
LLM360/Amber,ckpt_358,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.299246651785714,4655.193559480585,0.0002905560546760502,0.0002905560546760502
LLM360/Amber,main,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.164899553571429,4012.1316121453406,0.00033527259257191386,0.00033527259257191386
