model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_translate_fr_eng_first,correct_translate_fr_eng_first,total_translate_fr_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.0,0,171,,,,,,,
LLM360/Amber,ckpt_032,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.28654970760233917,49,171,,,,,,,
LLM360/Amber,ckpt_065,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.30994152046783624,53,171,,,,,,,
LLM360/Amber,ckpt_097,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.29239766081871343,50,171,,,,,,,
LLM360/Amber,ckpt_130,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_130/LLM360_Amber_ckpt_130_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.2573099415204678,44,171,,,,,,,
LLM360/Amber,ckpt_163,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_163/LLM360_Amber_ckpt_163_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.23976608187134502,41,171,,,,,,,
LLM360/Amber,ckpt_195,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_195/LLM360_Amber_ckpt_195_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.28654970760233917,49,171,,,,,,,
LLM360/Amber,ckpt_228,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_228/LLM360_Amber_ckpt_228_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.29239766081871343,50,171,,,,,,,
LLM360/Amber,ckpt_261,compositional_translate_fr_eng_first,True,,True,results/amber/Amber_ckpt_261/LLM360_Amber_ckpt_261_compositional_translate_fr_eng_first_translate_fr_eng_first_detailed.jsonl,171.0,0.29239766081871343,50,171,,,,,,,
LLM360/Amber,ckpt_293,compositional_translate_fr_eng_first,True,,False,,,0.29239766081871343,50,171,0.29239766081871343,50.0,171.0,10.131784539473685,348350.51154315943,0.00020560664076837282,0.00020560664076837282
LLM360/Amber,ckpt_326,compositional_translate_fr_eng_first,True,,False,,,0.26900584795321636,46,171,0.26900584795321636,46.0,171.0,9.866753472222221,117105.62876412999,0.00024310677304519173,0.00024310677304519173
LLM360/Amber,ckpt_358,compositional_translate_fr_eng_first,True,,False,,,0.23976608187134502,41,171,0.23976608187134502,41.0,171.0,10.265921966374268,556434.8159464088,0.00018816993736765184,0.00018816993736765184
LLM360/Amber,main,compositional_translate_fr_eng_first,True,,False,,,0.23976608187134502,41,171,0.23976608187134502,41.0,171.0,9.787623355263158,218784.79015991357,0.00023888486047640443,0.00023888486047640443
