model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_last,correct_upper_reverse_last,total_upper_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_upper_reverse_last,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,9.414212740384615,16597.251285878956,0.00015983451484651308,0.00015983451484651308
LLM360/Amber,ckpt_032,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.865835336538462,3284.5317122370175,0.00048175487663151714,0.00048175487663151714
LLM360/Amber,ckpt_065,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.620492788461538,7771.424660043969,0.0002404642108281858,0.0002404642108281858
LLM360/Amber,ckpt_097,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.439002403846154,1862.7747339715293,0.0006632177667039089,0.0006632177667039089
LLM360/Amber,ckpt_130,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.940054086538462,3506.9076809097633,0.00043424797970218723,0.00043424797970218723
LLM360/Amber,ckpt_163,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.4893329326923075,2166.9134614272944,0.000686091287718055,0.000686091287718055
LLM360/Amber,ckpt_195,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.114783653846153,3847.647183863726,0.00034964134756939973,0.00034964134756939973
LLM360/Amber,ckpt_228,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.005108173076923,3367.3906488894454,0.00037146558998536066,0.00037146558998536066
LLM360/Amber,ckpt_261,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.896784855769231,3101.80985116327,0.00042266924605962366,0.00042266924605962366
LLM360/Amber,ckpt_293,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.406550480769231,2085.050776105563,0.0007528002071697035,0.0007528002071697035
LLM360/Amber,ckpt_326,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.960637019230769,3398.783822838878,0.0004171689651314943,0.0004171689651314943
LLM360/Amber,ckpt_358,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.986478365384615,6842.618171097414,0.0005046728903770936,0.0005046728903770936
LLM360/Amber,main,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.562049278846154,2502.57331757608,0.0006479575307335792,0.0006479575307335792
