model,checkpoint,compositional_plural_lower
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.9263803680981595
LLM360/Amber,ckpt_065,0.950920245398773
LLM360/Amber,ckpt_097,0.9631901840490797
LLM360/Amber,ckpt_130,0.9570552147239264
LLM360/Amber,ckpt_163,0.950920245398773
LLM360/Amber,ckpt_195,0.9631901840490797
LLM360/Amber,ckpt_228,0.9754601226993865
LLM360/Amber,ckpt_261,0.9570552147239264
LLM360/Amber,ckpt_293,0.9570552147239264
LLM360/Amber,ckpt_326,0.9754601226993865
LLM360/Amber,ckpt_358,0.950920245398773
LLM360/Amber,main,0.950920245398773
