model,checkpoint,compositional_gerund_reverse
LLM360/Amber,ckpt_000,9.008580582865168
LLM360/Amber,ckpt_032,6.18528353230337
LLM360/Amber,ckpt_065,6.083578388342697
LLM360/Amber,ckpt_097,6.289161253511236
LLM360/Amber,ckpt_130,6.127018960674158
LLM360/Amber,ckpt_163,6.257198033707865
LLM360/Amber,ckpt_195,5.94603669241573
LLM360/Amber,ckpt_228,5.75709928019663
LLM360/Amber,ckpt_261,5.800748332162922
LLM360/Amber,ckpt_293,6.145310305477528
LLM360/Amber,ckpt_326,5.926626141151686
LLM360/Amber,ckpt_358,5.81809603230337
LLM360/Amber,main,5.75709928019663
