model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_plural_last,correct_plural_last,total_plural_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_plural_last,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_compositional_plural_last_plural_last_detailed.jsonl,165.0,0.0,0,165,,,,,,,
LLM360/Amber,ckpt_032,compositional_plural_last,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_compositional_plural_last_plural_last_detailed.jsonl,165.0,0.8363636363636363,138,165,,,,,,,
LLM360/Amber,ckpt_065,compositional_plural_last,True,,False,,,0.8242424242424242,136,165,0.8242424242424242,136.0,165.0,8.871117424242424,79991.03878927877,0.0002752117902379398,0.0002752117902379398
LLM360/Amber,ckpt_097,compositional_plural_last,True,,False,,,0.8606060606060606,142,165,0.8606060606060606,142.0,165.0,7.908712121212122,48533.37225724624,0.0006105726195419676,0.0006105726195419676
LLM360/Amber,ckpt_130,compositional_plural_last,True,,False,,,0.8303030303030303,137,165,0.8303030303030303,137.0,165.0,8.178622159090908,32220.561285835385,0.0004995430534625831,0.0004995430534625831
LLM360/Amber,ckpt_163,compositional_plural_last,True,,False,,,0.7878787878787878,130,165,0.7878787878787878,130.0,165.0,8.689180871212121,53701.9086771414,0.0003250177193761039,0.0003250177193761039
LLM360/Amber,ckpt_195,compositional_plural_last,True,,False,,,0.8303030303030303,137,165,0.8303030303030303,137.0,165.0,8.245620265151516,54858.66879439962,0.0005052450892088933,0.0005052450892088933
LLM360/Amber,ckpt_228,compositional_plural_last,True,,False,,,0.7878787878787878,130,165,0.7878787878787878,130.0,165.0,8.295454545454545,18537.759534431694,0.00045996628134261833,0.00045996628134261833
LLM360/Amber,ckpt_261,compositional_plural_last,True,,False,,,0.7636363636363637,126,165,0.7636363636363637,126.0,165.0,7.818229166666667,19435.782960811524,0.0006862858169907265,0.0006862858169907265
LLM360/Amber,ckpt_293,compositional_plural_last,True,,False,,,0.7696969696969697,127,165,0.7696969696969697,127.0,165.0,8.678503787878787,44255.214395995834,0.0002912546030596092,0.0002912546030596092
LLM360/Amber,ckpt_326,compositional_plural_last,True,,False,,,0.8121212121212121,134,165,0.8121212121212121,134.0,165.0,8.858877840909091,78748.6026821357,0.00023019229125521853,0.00023019229125521853
LLM360/Amber,ckpt_358,compositional_plural_last,True,,False,,,0.8303030303030303,137,165,0.8303030303030303,137.0,165.0,8.999739583333334,46944.61226291812,0.00022241474941835245,0.00022241474941835245
LLM360/Amber,main,compositional_plural_last,True,,False,,,0.7878787878787878,130,165,0.7878787878787878,130.0,165.0,8.088612689393939,76993.59077107337,0.0006056981327502096,0.0006056981327502096
