model,checkpoint,compositional_lower_first
LLM360/Amber,ckpt_000,7.980618990384615
LLM360/Amber,ckpt_032,8.06670673076923
LLM360/Amber,ckpt_065,7.694861778846154
LLM360/Amber,ckpt_097,8.039963942307692
LLM360/Amber,ckpt_130,7.7901141826923075
LLM360/Amber,ckpt_163,7.637319711538462
LLM360/Amber,ckpt_195,7.620492788461538
LLM360/Amber,ckpt_228,7.843599759615385
LLM360/Amber,ckpt_261,7.526592548076923
LLM360/Amber,ckpt_293,7.586087740384615
LLM360/Amber,ckpt_326,7.678034855769231
LLM360/Amber,ckpt_358,7.522235576923077
LLM360/Amber,main,7.2587139423076925
