model,checkpoint,textfrct_V2
LLM360/Amber,ckpt_000,7.020616319444445
LLM360/Amber,ckpt_032,7.378363715277778
LLM360/Amber,ckpt_065,4.816731770833333
LLM360/Amber,ckpt_097,6.089192708333333
LLM360/Amber,ckpt_130,6.894639756944445
LLM360/Amber,ckpt_163,6.065212673611111
LLM360/Amber,ckpt_195,5.823784722222222
LLM360/Amber,ckpt_228,5.662434895833333
LLM360/Amber,ckpt_261,5.636284722222222
LLM360/Amber,ckpt_293,6.074978298611111
LLM360/Amber,ckpt_326,5.994032118055555
LLM360/Amber,ckpt_358,5.670464409722222
LLM360/Amber,main,6.3330078125
