model,checkpoint,compositional_translate_fr_eng_lower
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.6927710843373494
LLM360/Amber,ckpt_065,0.7650602409638554
LLM360/Amber,ckpt_097,0.8012048192771084
LLM360/Amber,ckpt_130,0.8132530120481928
LLM360/Amber,ckpt_163,0.8313253012048193
LLM360/Amber,ckpt_195,0.8433734939759037
LLM360/Amber,ckpt_228,0.8192771084337349
LLM360/Amber,ckpt_261,0.8313253012048193
LLM360/Amber,ckpt_293,0.8433734939759037
LLM360/Amber,ckpt_326,0.8433734939759037
LLM360/Amber,ckpt_358,0.8734939759036144
LLM360/Amber,main,0.8734939759036144
