model,checkpoint,simple_icl_present_to_gerund
LLM360/Amber,ckpt_000,9.57930342178771
LLM360/Amber,ckpt_032,3.471865179818436
LLM360/Amber,ckpt_065,3.188689333100559
LLM360/Amber,ckpt_097,3.101742536662011
LLM360/Amber,ckpt_130,3.5613270338687153
LLM360/Amber,ckpt_163,3.2287447625698324
LLM360/Amber,ckpt_195,3.384923839036313
LLM360/Amber,ckpt_228,3.1194352304469275
LLM360/Amber,ckpt_261,3.232394596717877
LLM360/Amber,ckpt_293,3.107798315293296
LLM360/Amber,ckpt_326,3.3858185666899443
LLM360/Amber,ckpt_358,3.2845943173882683
LLM360/Amber,main,3.147057218924581
