model,checkpoint,textfrct_V3
LLM360/Amber,ckpt_000,7.13134765625
LLM360/Amber,ckpt_032,7.414469401041667
LLM360/Amber,ckpt_065,4.796061197916667
LLM360/Amber,ckpt_097,6.109293619791667
LLM360/Amber,ckpt_130,6.888834635416667
LLM360/Amber,ckpt_163,6.034098307291667
LLM360/Amber,ckpt_195,5.771402994791667
LLM360/Amber,ckpt_228,5.606689453125
LLM360/Amber,ckpt_261,5.586018880208333
LLM360/Amber,ckpt_293,6.068359375
LLM360/Amber,ckpt_326,6.045735677083333
LLM360/Amber,ckpt_358,5.662434895833333
LLM360/Amber,main,6.3212890625
